         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 1         100         110          90          90       20000           96.6667     1933333     1933333       20000     96.6667           3
10/ 7/2018  0: 2:34          80          80          80          80       30000                80     2400000     4333333       50000     86.6667           1
10/ 7/2018  4: 2:50         100         100         100         100       20000               100     2000000     6333333       70000     90.4762           1
10/ 7/2018  7: 2:36          70          70          70          70       18000                70     1260000     7593333       88000     86.2879           1
10/ 7/2018 19: 2:14          60          60          60          60       18000                60     1080000     8673333      106000     81.8239           1
10/ 7/2018 20: 2:57         100         100         100         100       40000               100     4000000    12673333      146000     86.8037           1
10/ 7/2018 21: 2:56         110         110         110         110       10000               110     1100000    13773333      156000     88.2906           1
10/ 7/2018 22: 2:53          70          70          70          70        1000                70       70000    13843333      157000     88.1741           1
10/ 7/2018 26: 2:35          80          80          80          80       50000                80     4000000    17843333      207000     86.1997           1
10/ 7/2018 34: 2:18          70          70          70          70       14134                70      989380    18832713      221134     85.1643           1
10/ 7/2018 38: 2:54          80          80          80          80       42920                80     3433600    22266313      264054     84.3248           1
10/ 7/2018 40: 2:20          90          90          90          90       10000                90      900000    23166313      274054     84.5319           1
10/ 7/2018 41: 2: 4          80          80          80          80       39000                80     3120000    26286313      313054     83.9673           1
10/ 7/2018 41: 2:10          70          70          70          70       11111                70      777770    27064083      324165     83.4886           1
10/ 7/2018 42: 2:18          90          90          90          90       20000                90     1800000    28864083      344165      83.867           1
10/ 7/2018 46: 2: 0          70          70          70          70       14134                70      989380    29853463      358299       83.32           1
11/ 7/2018 11: 2:39          90          90          90          90       39000                90     3510000    33363463      397299     83.9757           1
11/ 7/2018 28: 2:39          90          90          90          90        5000                90      450000    33813463      402299     84.0506           1
11/ 7/2018 36: 2: 5          70          70          70          70        8000                70      560000    34373463      410299     83.7766           1
12/ 7/2018  4: 2: 5          90          90          90          90       10000                90      900000    35273463      420299     83.9247           1
12/ 7/2018 22: 2:34         100         100         100         100        5000               100      500000    35773463      425299     84.1137           1
12/ 7/2018 26: 2: 9         100         100         100         100       39000               100     3900000    39673463      464299     85.4481           1
12/ 7/2018 26: 2:17          90          90          90          90       39000                90     3510000    43183463      503299     85.8008           1
12/ 7/2018 26: 2:20          90          90          90          90       39000                90     3510000    46693463      542299     86.1028           1
12/ 7/2018 26: 2:56          90          90          90          90         400                90       36000    46729463      542699     86.1057           1
12/ 7/2018 33: 2:31          90          90          90          90        5000                90      450000    47179463      547699     86.1412           1
12/ 7/2018 37: 2:28         100         100         100         100       39000               100     3900000    51079463      586699     87.0625           1
12/ 7/2018 37: 2:37          90          90          90          90       39000                90     3510000    54589463      625699     87.2456           1
12/ 7/2018 37: 2:38         100         100         100         100       39000               100     3900000    58489463      664699     87.9939           1
12/ 7/2018 39: 2:42          90          90          90          90       39000                90     3510000    61999463      703699     88.1051           1
12/ 7/2018 41: 2:16         100         100         100         100       39000               100     3900000    65899463      742699     88.7297           1
12/ 7/2018 50: 2:32          90          90          90          90       39000                90     3510000    69409463      781699     88.7931           1
14/ 7/2018  0: 2:26          90          90          90          90       50000                90     4500000    73909463      831699     88.8656           1
14/ 7/2018  2: 2:17         110         110         110         110           2               110         220    73909683      831701     88.8657           1
14/ 7/2018 22: 2:30         100         100         100         100       50000               100     5000000    78909683      881701     89.4971           1
14/ 7/2018 22: 2:31          90          90          90          90       50000                90     4500000    83409683      931701     89.5241           1
14/ 7/2018 22: 2:37         100         100         100         100       50000               100     5000000    88409683      981701     90.0576           1
14/ 7/2018 46: 2:33         140         140         140         140        2762               140      386680    88796363      984463     90.1978           1
14/ 7/2018 49: 2:44         100         100         100         100         600               100       60000    88856363      985063     90.2037           1
14/ 7/2018 53: 2: 0         110         110         110         110        1000               110      110000    88966363      986063     90.2238           1
15/ 7/2018 15: 2:24         100         100         100         100           1               100         100    88966463      986064     90.2238           1
15/ 7/2018 23: 2: 5         100         100         100         100       93930               100     9393000    98359463     1079994     91.0741           4
15/ 7/2018 32: 2:25         110         110         110         110           2               110         220    98359683     1079996     91.0741           1
15/ 7/2018 33: 2:45          90          90          90          90        3000                90      270000    98629683     1082996     91.0711           1
15/ 7/2018 46: 2:35          90          90          90          90       50000                90     4500000   103129683     1132996     91.0239           1
15/ 7/2018 51: 2:58         100         100         100         100        1000               100      100000   103229683     1133996     91.0318           1
16/ 7/2018 14: 2:26          80          80          80          80       50000                80     4000000   107229683     1183996     90.5659           1
16/ 7/2018 14: 2:30          90          90          90          90       50000                90     4500000   111729683     1233996      90.543           1
16/ 7/2018 15: 2: 5          80          80          80          80       50000                80     4000000   115729683     1283996     90.1324           1
16/ 7/2018 15: 2:22          90          90          90          90       50000                90     4500000   120229683     1333996     90.1275           1
16/ 7/2018 15: 2:24          80          80          80          80       50000                80     4000000   124229683     1383996     89.7616           1
16/ 7/2018 26: 2:45          70          70          70          70       20000                70     1400000   125629683     1403996     89.4801           1
16/ 7/2018 30: 2:23          90          90          90          90       45900                90     4131000   129760683     1449896     89.4965           1
16/ 7/2018 33: 2:15          70          70          70          70       13849                70      969430   130730113     1463745     89.3121           1
16/ 7/2018 36: 2:13          70          70          70          70        7500                70      525000   131255113     1471245     89.2136           1
16/ 7/2018 40: 2:33          90          90          90          90       38995                90     3509550   134764663     1510240     89.2339           1
16/ 7/2018 41: 2: 5         100         100         100         100       10000               100     1000000   135764663     1520240     89.3048           1
16/ 7/2018 42: 2: 5          80          80          80          80        1785                80      142800   135907463     1522025     89.2938           1
17/ 7/2018 11: 2: 1          70          70          70          70        8000                70      560000   136467463     1530025      89.193           1
17/ 7/2018 11: 2:34         100         100         100         100       45900               100     4590000   141057463     1575925     89.5077           1
17/ 7/2018 11: 2:39          90          90          90          90       45900                90     4131000   145188463     1621825     89.5217           1
17/ 7/2018 11: 2:41         100         100         100         100       45900               100     4590000   149778463     1667725       89.81           1
17/ 7/2018 11: 2:45         100         100         100         100       45900               100     4590000   154368463     1713625      90.083           1
17/ 7/2018 12: 2: 5          90          90          90          90       45900                90     4131000   158499463     1759525     90.0808           1
17/ 7/2018 12: 2:13         100         100         100         100       45900               100     4590000   163089463     1805425      90.333           1
17/ 7/2018 12: 2:17          90          90          90          90       45900                90     4131000   167220463     1851325     90.3247           1
17/ 7/2018 12: 2:41         100         100         100         100       45900               100     4590000   171810463     1897225     90.5588           1
17/ 7/2018 23: 2: 3         900         900         900         900           4               900        3600   171814063     1897229     90.5605           1
17/ 7/2018 37: 2:13         100         100         100         100       50000               100     5000000   176814063     1947229     90.8029           1
17/ 7/2018 47: 2:12          90          90          90          90       50000                90     4500000   181314063     1997229     90.7828           1
17/ 7/2018 47: 2:54         100         100          90          90       50000           93.3333     4666666   185980729     2047229     90.8451           2
17/ 7/2018 48: 2:37         100         100         100         100       50000               100     5000000   190980729     2097229     91.0634           1
17/ 7/2018 48: 2:59          90          90          90          90       50000                90     4500000   195480729     2147229     91.0386           1
17/ 7/2018 50: 2:21         100         100         100         100       50000               100     5000000   200480729     2197229     91.2425           1
17/ 7/2018 50: 2:37          90          90          90          90       50000                90     4500000   204980729     2247229     91.2149           1
17/ 7/2018 51: 2:47         100         100         100         100       50000               100     5000000   209980729     2297229     91.4061           1
17/ 7/2018 51: 2:54          90          90          90          90       50000                90     4500000   214480729     2347229     91.3761           1
17/ 7/2018 52: 2:21         100         100          90          90       50000           93.3333     4666666   219147395     2397229      91.417           2
