         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
10/ 7/2018  0: 2: 3          60          60          60          60      100000                60     6000000     6000000      100000          60           1
10/ 7/2018  5: 2: 3          60          60          60          60      100000                60     6000000    12000000      200000          60           1
10/ 7/2018  5: 2:32          50          50          50          50      100000                50     5000000    17000000      300000     56.6667           1
10/ 7/2018  5: 2:34          60          60          60          60      100000                60     6000000    23000000      400000        57.5           1
10/ 7/2018  5: 2:35          50          50          50          50      100000                50     5000000    28000000      500000          56           1
10/ 7/2018  5: 2:50          60          60          60          60      100000                60     6000000    34000000      600000     56.6667           1
10/ 7/2018 10: 2: 2          50          50          50          50      100000                50     5000000    39000000      700000     55.7143           1
10/ 7/2018 27: 2:54          50          50          50          50      100000                50     5000000    44000000      800000          55           1
11/ 7/2018 15: 2:27          60          60          60          60      100000                60     6000000    50000000      900000     55.5556           1
11/ 7/2018 15: 2:28          50          50          50          50      100000                50     5000000    55000000     1000000          55           1
11/ 7/2018 15: 2:29          60          60          60          60      100000                60     6000000    61000000     1100000     55.4545           1
11/ 7/2018 15: 2:31          50          50          50          50      100000                50     5000000    66000000     1200000          55           1
11/ 7/2018 15: 2:32          60          60          60          60      100000                60     6000000    72000000     1300000     55.3846           1
11/ 7/2018 15: 2:34          50          50          50          50      100000                50     5000000    77000000     1400000          55           1
11/ 7/2018 15: 2:35          60          60          60          60      100000                60     6000000    83000000     1500000     55.3333           1
11/ 7/2018 15: 2:57          50          50          50          50      100000                50     5000000    88000000     1600000          55           1
11/ 7/2018 15: 2:59          60          60          60          60      100000                60     6000000    94000000     1700000     55.2941           1
11/ 7/2018 16: 2: 0          50          50          50          50      100000                50     5000000    99000000     1800000          55           1
11/ 7/2018 16: 2: 2          60          60          60          60      100000                60     6000000   105000000     1900000     55.2632           1
11/ 7/2018 16: 2: 5          50          50          50          50      100000                50     5000000   110000000     2000000          55           1
11/ 7/2018 16: 2: 6          60          60          60          60      100000                60     6000000   116000000     2100000     55.2381           1
11/ 7/2018 16: 2: 7          60          60          60          60      100000                60     6000000   122000000     2200000     55.4545           1
11/ 7/2018 16: 2: 8          60          60          60          60      100000                60     6000000   128000000     2300000     55.6522           1
11/ 7/2018 16: 2:28          50          50          50          50      100000                50     5000000   133000000     2400000     55.4167           1
11/ 7/2018 16: 2:29          60          60          60          60      100000                60     6000000   139000000     2500000        55.6           1
11/ 7/2018 16: 2:32          50          50          50          50      100000                50     5000000   144000000     2600000     55.3846           1
11/ 7/2018 16: 2:33          60          60          60          60      100000                60     6000000   150000000     2700000     55.5556           1
11/ 7/2018 16: 2:46          50          50          50          50      100000                50     5000000   155000000     2800000     55.3571           1
11/ 7/2018 16: 2:47          60          60          60          60      100000                60     6000000   161000000     2900000     55.5172           1
11/ 7/2018 16: 2:48          50          50          50          50      100000                50     5000000   166000000     3000000     55.3333           1
11/ 7/2018 16: 2:49          60          60          60          60      100000                60     6000000   172000000     3100000     55.4839           1
11/ 7/2018 16: 2:50          50          50          50          50      100000                50     5000000   177000000     3200000     55.3125           1
11/ 7/2018 16: 2:51          50          50          50          50      100000                50     5000000   182000000     3300000     55.1515           1
11/ 7/2018 16: 2:54          60          60          60          60      100000                60     6000000   188000000     3400000     55.2941           1
11/ 7/2018 16: 2:55          50          50          50          50      100000                50     5000000   193000000     3500000     55.1429           1
11/ 7/2018 16: 2:59          60          60          60          60      100000                60     6000000   199000000     3600000     55.2778           1
11/ 7/2018 17: 2: 0          50          50          50          50      100000                50     5000000   204000000     3700000     55.1351           1
11/ 7/2018 17: 2: 1          50          50          50          50      100000                50     5000000   209000000     3800000          55           1
11/ 7/2018 17: 2: 3          60          60          60          60      100000                60     6000000   215000000     3900000     55.1282           1
11/ 7/2018 17: 2: 4          50          50          50          50      100000                50     5000000   220000000     4000000          55           1
11/ 7/2018 17: 2: 5          50          50          50          50      100000                50     5000000   225000000     4100000      54.878           1
11/ 7/2018 17: 2: 6          60          60          60          60      100000                60     6000000   231000000     4200000          55           1
11/ 7/2018 17: 2: 9          50          50          50          50      100000                50     5000000   236000000     4300000     54.8837           1
11/ 7/2018 17: 2:10          60          60          60          60      100000                60     6000000   242000000     4400000          55           1
11/ 7/2018 17: 2:20          50          50          50          50      100000                50     5000000   247000000     4500000     54.8889           1
11/ 7/2018 17: 2:21          50          50          50          50      100000                50     5000000   252000000     4600000     54.7826           1
11/ 7/2018 17: 2:22          60          60          60          60      100000                60     6000000   258000000     4700000     54.8936           1
11/ 7/2018 17: 2:23          50          50          50          50      100000                50     5000000   263000000     4800000     54.7917           1
11/ 7/2018 17: 2:25          60          60          60          60      100000                60     6000000   269000000     4900000      54.898           1
11/ 7/2018 17: 2:26          60          60          60          60      100000                60     6000000   275000000     5000000          55           1
11/ 7/2018 17: 2:27          50          50          50          50      100000                50     5000000   280000000     5100000      54.902           1
11/ 7/2018 17: 2:28          50          50          50          50      100000                50     5000000   285000000     5200000     54.8077           1
11/ 7/2018 17: 2:29          60          60          60          60      100000                60     6000000   291000000     5300000     54.9057           1
11/ 7/2018 17: 2:31          50          50          50          50      100000                50     5000000   296000000     5400000     54.8148           1
11/ 7/2018 17: 2:32          60          60          60          60      100000                60     6000000   302000000     5500000     54.9091           1
11/ 7/2018 17: 2:33          50          50          50          50      100000                50     5000000   307000000     5600000     54.8214           1
11/ 7/2018 17: 2:34          60          60          60          60      100000                60     6000000   313000000     5700000     54.9123           1
11/ 7/2018 17: 2:36          50          50          50          50      100000                50     5000000   318000000     5800000     54.8276           1
11/ 7/2018 17: 2:37          60          60          60          60      100000                60     6000000   324000000     5900000     54.9153           1
11/ 7/2018 17: 2:43          50          50          50          50      100000                50     5000000   329000000     6000000     54.8333           1
11/ 7/2018 17: 2:44          60          60          60          60      100000                60     6000000   335000000     6100000      54.918           1
11/ 7/2018 17: 2:45          50          50          50          50      100000                50     5000000   340000000     6200000     54.8387           1
11/ 7/2018 17: 2:46          60          60          60          60      100000                60     6000000   346000000     6300000     54.9206           1
11/ 7/2018 17: 2:49          50          50          50          50      100000                50     5000000   351000000     6400000     54.8438           1
11/ 7/2018 17: 2:51          60          60          60          60      100000                60     6000000   357000000     6500000     54.9231           1
11/ 7/2018 17: 2:52          50          50          50          50      100000                50     5000000   362000000     6600000     54.8485           1
11/ 7/2018 17: 2:58          60          60          60          60      100000                60     6000000   368000000     6700000     54.9254           1
11/ 7/2018 17: 2:59          50          50          50          50      100000                50     5000000   373000000     6800000     54.8529           1
11/ 7/2018 18: 2: 0          60          60          60          60      100000                60     6000000   379000000     6900000     54.9275           1
11/ 7/2018 18: 2: 1          60          60          60          60      100000                60     6000000   385000000     7000000          55           1
11/ 7/2018 18: 2: 2          50          50          50          50      100000                50     5000000   390000000     7100000     54.9296           1
11/ 7/2018 18: 2: 7          60          60          60          60      100000                60     6000000   396000000     7200000          55           1
11/ 7/2018 18: 2: 8          50          50          50          50      100000                50     5000000   401000000     7300000     54.9315           1
11/ 7/2018 18: 2:10          60          60          60          60      100000                60     6000000   407000000     7400000          55           1
11/ 7/2018 18: 2:11          50          50          50          50      100000                50     5000000   412000000     7500000     54.9333           1
11/ 7/2018 18: 2:12          50          50          50          50      100000                50     5000000   417000000     7600000     54.8684           1
11/ 7/2018 18: 2:13          60          60          60          60      100000                60     6000000   423000000     7700000     54.9351           1
11/ 7/2018 18: 2:14          50          50          50          50      100000                50     5000000   428000000     7800000     54.8718           1
11/ 7/2018 18: 2:15          50          50          50          50      100000                50     5000000   433000000     7900000     54.8101           1
11/ 7/2018 18: 2:22          60          60          60          60      100000                60     6000000   439000000     8000000      54.875           1
11/ 7/2018 18: 2:23          50          50          50          50      100000                50     5000000   444000000     8100000     54.8148           1
11/ 7/2018 18: 2:24          60          60          60          60      100000                60     6000000   450000000     8200000      54.878           1
11/ 7/2018 18: 2:30          50          50          50          50      100000                50     5000000   455000000     8300000     54.8193           1
11/ 7/2018 18: 2:35          60          60          60          60      100000                60     6000000   461000000     8400000      54.881           1
11/ 7/2018 18: 2:41          50          50          50          50      100000                50     5000000   466000000     8500000     54.8235           1
11/ 7/2018 18: 2:43          60          60          60          60      100000                60     6000000   472000000     8600000     54.8837           1
11/ 7/2018 18: 2:44          60          60          60          60      100000                60     6000000   478000000     8700000     54.9425           1
11/ 7/2018 18: 2:45          60          60          60          60      100000                60     6000000   484000000     8800000          55           1
11/ 7/2018 18: 2:47          50          50          50          50      100000                50     5000000   489000000     8900000     54.9438           1
11/ 7/2018 18: 2:48          60          60          60          60      100000                60     6000000   495000000     9000000          55           1
11/ 7/2018 18: 2:49          50          50          50          50      100000                50     5000000   500000000     9100000     54.9451           1
11/ 7/2018 18: 2:52          60          60          60          60      100000                60     6000000   506000000     9200000          55           1
11/ 7/2018 18: 2:55          50          50          50          50      100000                50     5000000   511000000     9300000     54.9462           1
11/ 7/2018 18: 2:56          60          60          60          60      100000                60     6000000   517000000     9400000          55           1
11/ 7/2018 18: 2:57          50          50          50          50      100000                50     5000000   522000000     9500000     54.9474           1
11/ 7/2018 18: 2:58          60          60          60          60      100000                60     6000000   528000000     9600000          55           1
11/ 7/2018 18: 2:59          50          50          50          50      100000                50     5000000   533000000     9700000     54.9485           1
11/ 7/2018 19: 2: 0          60          60          60          60      100000                60     6000000   539000000     9800000          55           1
11/ 7/2018 19: 2: 1          50          50          50          50      100000                50     5000000   544000000     9900000     54.9495           1
11/ 7/2018 19: 2: 3          60          60          60          60      100000                60     6000000   550000000    10000000          55           1
11/ 7/2018 19: 2: 4          60          60          60          60      100000                60     6000000   556000000    10100000     55.0495           1
11/ 7/2018 19: 2: 5          50          50          50          50      100000                50     5000000   561000000    10200000          55           1
11/ 7/2018 19: 2: 6          50          50          50          50      100000                50     5000000   566000000    10300000     54.9515           1
11/ 7/2018 19: 2: 7          60          60          60          60      100000                60     6000000   572000000    10400000          55           1
11/ 7/2018 19: 2: 8          50          50          50          50      100000                50     5000000   577000000    10500000     54.9524           1
11/ 7/2018 19: 2: 9          60          60          60          60      100000                60     6000000   583000000    10600000          55           1
11/ 7/2018 19: 2:10          50          50          50          50      100000                50     5000000   588000000    10700000     54.9533           1
11/ 7/2018 19: 2:11          50          50          50          50      100000                50     5000000   593000000    10800000     54.9074           1
11/ 7/2018 19: 2:12          50          50          50          50      100000                50     5000000   598000000    10900000     54.8624           1
11/ 7/2018 19: 2:13          50          50          50          50      100000                50     5000000   603000000    11000000     54.8182           1
11/ 7/2018 19: 2:14          60          60          60          60      100000                60     6000000   609000000    11100000     54.8649           1
11/ 7/2018 19: 2:16          50          50          50          50      100000                50     5000000   614000000    11200000     54.8214           1
11/ 7/2018 19: 2:20          60          60          60          60      100000                60     6000000   620000000    11300000     54.8673           1
11/ 7/2018 19: 2:21          50          50          50          50      100000                50     5000000   625000000    11400000     54.8246           1
11/ 7/2018 19: 2:23          60          60          60          60      100000                60     6000000   631000000    11500000     54.8696           1
11/ 7/2018 19: 2:24          50          50          50          50      100000                50     5000000   636000000    11600000     54.8276           1
11/ 7/2018 19: 2:35          60          60          60          60      100000                60     6000000   642000000    11700000     54.8718           1
11/ 7/2018 19: 2:36          50          50          50          50      100000                50     5000000   647000000    11800000     54.8305           1
11/ 7/2018 20: 2: 5          60          60          60          60      100000                60     6000000   653000000    11900000     54.8739           1
11/ 7/2018 20: 2: 6          50          50          50          50      100000                50     5000000   658000000    12000000     54.8333           1
11/ 7/2018 20: 2:20          60          60          60          60      100000                60     6000000   664000000    12100000      54.876           1
11/ 7/2018 20: 2:21          50          50          50          50      100000                50     5000000   669000000    12200000     54.8361           1
11/ 7/2018 21: 2:37          60          60          60          60      100000                60     6000000   675000000    12300000      54.878           1
11/ 7/2018 21: 2:38          50          50          50          50      100000                50     5000000   680000000    12400000     54.8387           1
11/ 7/2018 22: 2: 0          60          60          60          60      100000                60     6000000   686000000    12500000       54.88           1
11/ 7/2018 24: 2:59          50          50          50          50      100000                50     5000000   691000000    12600000     54.8413           1
11/ 7/2018 27: 2: 3          60          60          60          60      100000                60     6000000   697000000    12700000     54.8819           1
11/ 7/2018 27: 2: 4          50          50          50          50      100000                50     5000000   702000000    12800000     54.8438           1
11/ 7/2018 28: 2: 0          60          60          60          60      100000                60     6000000   708000000    12900000     54.8837           1
11/ 7/2018 28: 2: 1          50          50          50          50      100000                50     5000000   713000000    13000000     54.8462           1
11/ 7/2018 28: 2: 2          60          60          60          60      100000                60     6000000   719000000    13100000     54.8855           1
11/ 7/2018 28: 2: 3          50          50          50          50      100000                50     5000000   724000000    13200000     54.8485           1
11/ 7/2018 28: 2: 7          60          60          60          60      100000                60     6000000   730000000    13300000     54.8872           1
11/ 7/2018 28: 2: 8          50          50          50          50      100000                50     5000000   735000000    13400000     54.8507           1
11/ 7/2018 28: 2: 9          60          60          60          60      100000                60     6000000   741000000    13500000     54.8889           1
11/ 7/2018 28: 2:13          50          50          50          50      100000                50     5000000   746000000    13600000     54.8529           1
11/ 7/2018 28: 2:14          60          60          60          60      100000                60     6000000   752000000    13700000     54.8905           1
11/ 7/2018 28: 2:15          50          50          50          50      100000                50     5000000   757000000    13800000     54.8551           1
11/ 7/2018 28: 2:19          60          60          60          60      100000                60     6000000   763000000    13900000     54.8921           1
11/ 7/2018 28: 2:20          50          50          50          50      100000                50     5000000   768000000    14000000     54.8571           1
11/ 7/2018 32: 2:17          60          60          60          60      100000                60     6000000   774000000    14100000     54.8936           1
11/ 7/2018 32: 2:54          50          50          50          50      100000                50     5000000   779000000    14200000     54.8592           1
14/ 7/2018  0: 2: 1          50          50          50          50      100000                50     5000000   784000000    14300000     54.8252           1
14/ 7/2018  1: 2:25          60          60          60          60      100000                60     6000000   790000000    14400000     54.8611           1
14/ 7/2018  9: 2:32          50          50          50          50      100000                50     5000000   795000000    14500000     54.8276           1
14/ 7/2018  9: 2:33          60          60          60          60      100000                60     6000000   801000000    14600000      54.863           1
14/ 7/2018 10: 2:57          50          50          50          50      100000                50     5000000   806000000    14700000     54.8299           1
14/ 7/2018 10: 2:58          50          50          50          50      100000                50     5000000   811000000    14800000     54.7973           1
14/ 7/2018 11: 2: 0          60          60          60          60      100000                60     6000000   817000000    14900000     54.8322           1
14/ 7/2018 11: 2: 3          50          50          50          50      100000                50     5000000   822000000    15000000        54.8           1
14/ 7/2018 11: 2: 4          60          60          60          60      100000                60     6000000   828000000    15100000     54.8344           1
14/ 7/2018 11: 2: 5          50          50          50          50      100000                50     5000000   833000000    15200000     54.8026           1
14/ 7/2018 11: 2: 6          60          60          60          60      100000                60     6000000   839000000    15300000     54.8366           1
14/ 7/2018 11: 2: 7          60          60          60          60      100000                60     6000000   845000000    15400000     54.8701           1
14/ 7/2018 11: 2:13          50          50          50          50      100000                50     5000000   850000000    15500000     54.8387           1
14/ 7/2018 11: 2:16          60          60          60          60      100000                60     6000000   856000000    15600000     54.8718           1
14/ 7/2018 11: 2:20          50          50          50          50      100000                50     5000000   861000000    15700000     54.8408           1
15/ 7/2018 11: 2:20          60          60          60          60      100000                60     6000000   867000000    15800000     54.8734           1
15/ 7/2018 11: 2:41          50          50          50          50      100000                50     5000000   872000000    15900000     54.8428           1
15/ 7/2018 12: 2: 0          60          60          60          60      100000                60     6000000   878000000    16000000      54.875           1
15/ 7/2018 13: 2:13          50          50          50          50      100000                50     5000000   883000000    16100000     54.8447           1
15/ 7/2018 13: 2:47          60          60          60          60      100000                60     6000000   889000000    16200000     54.8765           1
15/ 7/2018 14: 2:29          50          50          50          50      100000                50     5000000   894000000    16300000     54.8466           1
15/ 7/2018 14: 2:30          60          60          60          60      100000                60     6000000   900000000    16400000      54.878           1
15/ 7/2018 14: 2:31          50          50          50          50      100000                50     5000000   905000000    16500000     54.8485           1
15/ 7/2018 19: 2:35          60          60          60          60      100000                60     6000000   911000000    16600000     54.8795           1
15/ 7/2018 20: 2:11          50          50          50          50      100000                50     5000000   916000000    16700000     54.8503           1
15/ 7/2018 20: 2:12          60          60          60          60      100000                60     6000000   922000000    16800000      54.881           1
15/ 7/2018 20: 2:19          50          50          50          50      100000                50     5000000   927000000    16900000     54.8521           1
15/ 7/2018 21: 2: 0          60          60          60          60      100000                60     6000000   933000000    17000000     54.8824           1
15/ 7/2018 21: 2:35          50          50          50          50      100000                50     5000000   938000000    17100000     54.8538           1
15/ 7/2018 23: 2:27          60          60          60          60      100000                60     6000000   944000000    17200000     54.8837           1
15/ 7/2018 23: 2:53          50          50          50          50      200000                50    10000000   954000000    17400000     54.8276           1
15/ 7/2018 24: 2:44          40          40          40          40      100000                40     4000000   958000000    17500000     54.7429           1
15/ 7/2018 24: 2:46          40          40          40          40      100000                40     4000000   962000000    17600000     54.6591           1
15/ 7/2018 24: 2:48          50          50          50          50      100000                50     5000000   967000000    17700000     54.6328           1
15/ 7/2018 31: 2:32          50          50          50          50      100000                50     5000000   972000000    17800000     54.6067           1
